registration_series,registration_number,organization_name,expiry_date,fee_amount,bgmea_id,bgmea_address,bgmea_phone,rsc_factory_id,rsc_address,rsc_buyers,github_buyers,github_source,match_score,match_confidence
Ba: Bo:,770,Astras Garments Ltd.,16-01-2001,"2,500/-",,,,,,,,,0,none
Ba: Bo:,771,Anvoy Garments Ltd.,15-10-2012,"2,500/-",,,,,,,,,0,none
Ba: Bo:,769,Regal Garments Ltd.,15-01-2005,"2,500/-",,,,,,,,,0,none
Ba: Bo:,772,Envoy Garments Ltd.,20-12-2002,"2,500/-",,,,,,,,,0,none
Ba: Bo:,773,Jhumka Textile (Pvt) Ltd.,26-01-2022,"5,500/-",,,,,,,,,0,none
Ba: Bo:,778,Haroon Dyeing & Printing Works,05-06-2005,"5,000/-",,,,,,,,,0,none
Ba: Bo:,780,H.R. Textile Mills Ltd.,22-10-2008,"6,000/-",,,,,,,,,0,none
Ba: Bo:,781,Mita Textile Ltd.,09-01-2008,"2,500/-",,,,,,,,,0,none
Ba: Bo:,783,Knitex Industries Ltd.,06-12-2020,"6,500/-",,,,,,,,,0,none
Ba: Bo:,784,Shah Fatehullah Textile Mills Ltd.,26-12-2006,"2,500/-",,,,,,,,,0,none
Ba: Bo:,785,Shawon Textile Ind. (P) Ltd.,22-02-2002,"5,000/-",,,,,,,,,0,none
Ba: Bo:,787,Sattar Knit Dyeing & Finishing Mills Ltd.,07-02-1996,"7,000/-",,,,,,,,,0,none
Ba: Bo:,788,Fame Knitwears Limited,15-05-2005,"2,500/-",,,,,,,,,0,none
Ba: Bo:,790,Midway Apparels Ltd.,30-11--0001,"2,500/-",,,,,,,,,0,none
Ba: Bo:,791,Ashik Garments Ltd.,26-10-2002,"2,500/-",,,,,,,,,0,none
Ba: Bo:,792,Ashik Garments Ltd.,10-08-1998,"2,500/-",,,,,,,,,0,none
Ba: Bo:,795,Laurel Fabrics Ltd.,31-01-1997,"3,500/-",,,,,,,,,0,none
Ba: Bo:,794,Royal Knitting Mills,16-04-2006,"5,500/-",,,,,,,,,0,none
Ba: Bo:,799,Five Ocess Washing Industries Ltd.,17-05-2007,"4,500/-",,,,,,,,,0,none
Ba: Bo:,800,Popular Dyeing & Printing,19-06-2018,3500,,,,,,,,,0,none
Ba: Bo:,801,Euro Knitting & Dyeing Industries Ltd.,13-01-1997,"5,000/-",,,,,,,,,0,none
Ba: Bo:,802,Euro Knitting & Dyeing Industries Ltd.,13-01-1997,"5,500/-",,,,,,,,,0,none
Ba: Bo:,803,Rahmat Textiles Limited,21-12-2014,"2,500/-",,,,,,,,,0,none
Ba: Bo:,804,I.V. Textile Mills Ltd.,22-02-2021,"4,500/-",,,,,,,,,0,none
Ba: Bo:,805,Epoc Garments Ltd.,12-07-2020,"2,500/-",,,,,,,,,0,none
Ba: Bo:,806,Sonargaon Dyeing and Printing Ind. Ltd.,02-04-2000,,,,,,,,,,0,none
Ba: Bo:,809,Manita Knit Fabrics Ltd.,05-03-2000,"5,000/-",,,,,,,,,0,none
Ba: Bo:,811,Saiham Textile Mills Ltd.,25-04-2022,"3,500/-",,,,,,,,,0,none
Ba: Bo:,813,Messures Friends Fabrics (Pvt.) Ltd.,26-11-2002,"5,000/-",,,,,,,,,0,none
Ba: Bo:,814,Venguard Garments Ltd.,09-11-2022,"6,000/-",,,,,,,,,0,none
Ba: Bo:,817,Demra Textile,08-06-2021,"6,500/-",,,,,,,,,0,none
Ba: Bo:,822,Messures Somahar Sweaters Ltd.,15-02-2000,"2,500/-",,,,,,,,,0,none
Ba: Bo:,823,M Color Fabrics,26-04-2005,"4,500/-",,,,,,,,,0,none
Ba: Bo:,824,Messures United Hosiery Dyeing & Processing Industries,07-06-2010,"4,500/-",,,,,,,,,0,none
Ba: Bo:,828,Messures Auto Textile Ltd.,20-07-2006,"6,500/-",,,,,,,,,0,none
Ba: Bo:,829,Platinum Textile Mills Ltd.,24-09-1996,"4,500/-",,,,,,,,,0,none
Ba: Bo:,831,Messures F.A.R. Apparels Ltd.,23-01-2012,"3,500/-",,,,,,,,,0,none
Ba: Bo:,830,Messures Progressive Dyeing & Processing,30-11--0001,"4,500/-",,,,,,,,,0,none
Ba: Bo:,835,Messures Mozahid Textile Corporation Ltd.,08-06-2009,"7,000/-",,,,,,,,,0,none
Ba: Bo:,834,Messures Dynesti Textiles Ltd.,30-11--0001,"6,500/-",,,,,,,,,0,none
Ba: Bo:,838,Kallol Textiles Ltd.,04-06-2006,"6,500/-",,,,,,,,,0,none
Ba: Bo:,837,Bangladesh Dyeing & Finishing Industries Ltd.,17-08-2022,"6,500/-",,,,,,,,,0,none
Ba: Bo:,840,Messures Ambar Apparels & Textiles Ltd. f,22-05-2001,"5,500/-",,,,,,,,,0,none
Ba: Bo:,839,Shatarupa Textiles Ltd.,10-05-2012,"4,500/-",,,,,,,,,0,none
Ba: Bo:,844,Messures Uttara Apparels Ltd.,05-06-1998,"2,500/-",,,,,,,,,0,none
Ba: Bo:,843,Messures Alit Garments Ind. Ltd.,13-12-2016,2500,,,,,,,,,0,none
Ba: Bo:,845,Messures Bright Textile & Processing Mills,26-08-1999,"5,000/-",,,,,,,,,0,none
Ba: Bo:,849,Messures Union Textiles Ltd.,13-06-2006,"6,500/-",,,,,,,,,0,none
Ba: Bo:,850,Messures Prime Textile Spening Mills Ltd.,23-08-2019,"2,500/-",,,,,,,,,0,none
Ba: Bo:,852,Palli Textiles Ltd.,29-08-2003,"4,500/-",,,,,,,,,0,none
Ba: Bo:,854,The Reliance Textile Ind.,26-08-1999,"3,500/-",,,,,,,,,0,none
Ba: Bo:,855,Apple Knit,11-09-2016,2500,,,,,,,,,0,none
Ba: Bo:,856,Nuaiba Fashions Ltd.,29-07-2008,"2,500/-",,,,,,,,,0,none
Ba: Bo:,857,Messures Sadar Textile Mills Ltd.,22-08-2002,"2,500/-",,,,,,,,,0,none
Ba: Bo:,859,Messures Shyamrock Knit Works Ltd.,10-08-1997,"2,500/-",,,,,,,,,0,none
Ba: Bo:,860,R.K. Fashion Ltd.,29-05-2006,"5,500/-",,,,,,,,,0,none
Ba: Bo:,862,Osenia Fashion Apparels,21-08-2006,"2,500/-",,,,,,,,,0,none
Ba: Bo:,858,Roni Textile Mills,10-08-1997,"3,500/-",,,,,,,,,0,none
